Districts,id,cases,Population,Ratio
Kurigram,Kurigram-3,149,2301000,6.48E-05
Kurigram,Kurigram-4,149,2301000,6.48E-05
Kurigram,Kurigram-5,149,2301000,6.48E-05
Kurigram,Kurigram-6,149,2301000,6.48E-05
Kurigram,Kurigram-7,149,2301000,6.48E-05
Kurigram,Kurigram-8,149,2301000,6.48E-05
Kurigram,Kurigram-9,149,2301000,6.48E-05
Kushtia,Kushtia-1,1235,2170000,0.000569124
Kushtia,Kushtia-2,1235,2170000,0.000569124
Kushtia,Kushtia-3,1235,2170000,0.000569124
Kushtia,Kushtia-4,1235,2170000,0.000569124
Kushtia,Kushtia-5,1235,2170000,0.000569124
Kushtia,Kushtia-6,1235,2170000,0.000569124
Lakshmipur,Lakshmipur-1,1256,1995000,0.000629574
Lakshmipur,Lakshmipur-2,1256,1995000,0.000629574
Lakshmipur,Lakshmipur-3,1256,1995000,0.000629574
Lakshmipur,Lakshmipur-4,1256,1995000,0.000629574
Lalmonirhat,Lalmonirhat-1,126,1398000,9.01E-05
Lalmonirhat,Lalmonirhat-2,126,1398000,9.01E-05
Lalmonirhat,Lalmonirhat-3,126,1398000,9.01E-05
Lalmonirhat,Lalmonirhat-4,126,1398000,9.01E-05
Lalmonirhat,Lalmonirhat-5,126,1398000,9.01E-05
Madaripur,Madaripur-1,1039,1295000,0.000802317
Madaripur,Madaripur-2,1039,1295000,0.000802317
Madaripur,Madaripur-3,1039,1295000,0.000802317
Madaripur,Madaripur-4,1039,1295000,0.000802317
Magura,Magura-1,334,1020000,0.000327451
Magura,Magura-2,334,1020000,0.000327451
Magura,Magura-3,334,1020000,0.000327451
Magura,Magura-4,334,1020000,0.000327451
Manikganj,Manikganj-1,840,1542000,0.000544747
Manikganj,Manikganj-2,840,1542000,0.000544747
Manikganj,Manikganj-3,840,1542000,0.000544747
Manikganj,Manikganj-4,840,1542000,0.000544747
Manikganj,Manikganj-5,840,1542000,0.000544747
Manikganj,Manikganj-6,840,1542000,0.000544747
Manikganj,Manikganj-7,840,1542000,0.000544747
Maulvibazar,Maulvibazar-1,137,2148000,6.38E-05
Maulvibazar,Maulvibazar-2,137,2148000,6.38E-05
Maulvibazar,Maulvibazar-3,137,2148000,6.38E-05
Maulvibazar,Maulvibazar-4,137,2148000,6.38E-05
Maulvibazar,Maulvibazar-5,137,2148000,6.38E-05
Maulvibazar,Maulvibazar-6,137,2148000,6.38E-05
Meherpur,Meherpur-1,839,716000,0.001171788
Meherpur,Meherpur-2,839,716000,0.001171788
Munshiganj,Munshiganj-1,2503,1583000,0.001581175
Munshiganj,Munshiganj-2,2503,1583000,0.001581175
Munshiganj,Munshiganj-3,2503,1583000,0.001581175
Munshiganj,Munshiganj-4,2503,1583000,0.001581175
Munshiganj,Munshiganj-5,2503,1583000,0.001581175
Munshiganj,Munshiganj-6,2503,1583000,0.001581175
Mymensingh,Mymensingh-1,2052,5807000,0.000353367
Mymensingh,Mymensingh-2,2052,5807000,0.000353367
Mymensingh,Mymensingh-3,2052,5807000,0.000353367
Mymensingh,Mymensingh-4,2052,5807000,0.000353367
Mymensingh,Mymensingh-5,2052,5807000,0.000353367
Mymensingh,Mymensingh-6,2052,5807000,0.000353367
Mymensingh,Mymensingh-7,2052,5807000,0.000353367
Mymensingh,Mymensingh-8,2052,5807000,0.000353367
Mymensingh,Mymensingh-9,2052,5807000,0.000353367
Mymensingh,Mymensingh-10,2052,5807000,0.000353367
Mymensingh,Mymensingh-11,2052,5807000,0.000353367
Mymensingh,Mymensingh-12,2052,5807000,0.000353367
Naogaon,Naogaon-1,844,2844000,0.000296765
Naogaon,Naogaon-2,844,2844000,0.000296765
Naogaon,Naogaon-3,844,2844000,0.000296765
Naogaon,Naogaon-4,844,2844000,0.000296765
Naogaon,Naogaon-5,844,2844000,0.000296765
Naogaon,Naogaon-6,844,2844000,0.000296765
Naogaon,Naogaon-7,844,2844000,0.000296765
Naogaon,Naogaon-8,844,2844000,0.000296765
